"cust_id","display_name","latest_iRating","car_class_name","car_number","team_id","team_display_name","gtp","lmp2","gt3pro","gt3am"
"558958","Mark DeBoer","3894","IMSA23","211","-182156","RPM Racing Orange","True","True","True","No"
"682505","Drew Glover2","2651","IMSA23","399","-239796","Slippers Racing Team","True","True","True","Silver"
"413787","Rowan Pelan O'Treasaigh","1680","IMSA23","399","-239796","Slippers Racing Team","False","False","True","Silver"
"526114","Kevin Peeters2","2438","IMSA23","399","-239796","Slippers Racing Team","False","True","True","Silver"
"794023","John Connors3","1869","IMSA23","399","-239796","Slippers Racing Team","False","False","True","Silver"
"898856","Tianrui Li","1754","IMSA23","399","-239796","Slippers Racing Team","False","False","True","Silver"
"579208","Thomas Burling","2428","IMSA23","399","-239796","Slippers Racing Team","False","True","True","Silver"
"641608","Yuliyan Dimitrov","2180","IMSA23","381","-305409","Negative Delta Academy","False","True","True","Silver"
"690649","Miroslav Sotirov","2669","IMSA23","381","-305409","Negative Delta Academy","True","True","True","Silver"
"381527","Iordanin Tsvetanov","3061","IMSA23","381","-305409","Negative Delta Academy","True","True","True","Gold"
"613727","Orlin Malinov","2229","IMSA23","381","-305409","Negative Delta Academy","False","True","True","Silver"
"901119","Thomas Sangleboeuf","3417","GTP","99","-219846","Team FFSR","True","True","True","Gold"
"301292","Jonathan Bertault18","3010","GTP","99","-219846","Team FFSR","True","True","True","Gold"
"507409","Robin Vercelletto","3801","GTP","99","-219846","Team FFSR","True","True","True","No"
"378460","Mathieu Sales","3464","GTP","99","-219846","Team FFSR","True","True","True","Gold"
"1033551","Diogo Faria","3313","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","Gold"
"858949","Gon?alo C Ferreira","4759","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","No"
"569535","Gon?alo Leite","4508","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","No"
"400601","Pedro S Monteiro","4544","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","No"
"716661","Jonas Janum","3296","GTP","86","-294982","TeamRedX.com Simsport 806","True","True","True","Gold"
"411505","Shawn B Brown","3026","GTP","86","-294982","TeamRedX.com Simsport 806","True","True","True","Gold"
"900575","Sam Rose","2577","GTP","86","-294982","TeamRedX.com Simsport 806","True","True","True","Silver"
"917057","Paris L Boukouvalas","4262","GTP","86","-294982","TeamRedX.com Simsport 806","True","True","True","No"
"851184","Luke Smith17","3980","IMSA23","396","-333423","Unlucky Luc Racing","True","True","True","No"
"948441","Luc Teunissen","2244","IMSA23","396","-333423","Unlucky Luc Racing","False","True","True","Silver"
"929520","Lucas Derksen2","2683","IMSA23","396","-333423","Unlucky Luc Racing","True","True","True","Silver"
"338883","Markus S?holm","8817","GTP","51","-333551","Project Valorous $51","True","True","True","No"
"309084","Krzysztof Jachura","4016","GTP","51","-333551","Project Valorous $51","True","True","True","No"
"671481","Daniel Laursen","3872","GTP","51","-333551","Project Valorous $51","True","True","True","No"
"360282","Emil Winbo","3368","GTP","51","-333551","Project Valorous $51","True","True","True","Gold"
"528824","Kiko Lacalle","5201","IMSA23","288","-215259","GO! eSports","True","True","True","No"
"179983","Joan Compte","4402","IMSA23","288","-215259","GO! eSports","True","True","True","No"
"243240","Joan Marti","5006","IMSA23","288","-215259","GO! eSports","True","True","True","No"
"594341","Sergio S?nchez Cachafeiro","4202","IMSA23","288","-215259","GO! eSports","True","True","True","No"
"871110","Tayne Hodesson","2574","IMSA23","323","-295582","TeamRedX.com 323","True","True","True","Silver"
"481789","Vladimir Alexandru Halibei","2816","IMSA23","323","-295582","TeamRedX.com 323","True","True","True","Gold"
"744048","Maurice Dioncre","2868","IMSA23","323","-295582","TeamRedX.com 323","True","True","True","Gold"
"689306","Isak Arvidsson","5993","IMSA23","219","-266176","SimRace Sweden eSports PRO","True","True","True","No"
"363812","Vincent Aussems","5158","IMSA23","219","-266176","SimRace Sweden eSports PRO","True","True","True","No"
"561604","Carlos Coxinho","3916","IMSA23","213","-257830","SR TECHNIC","True","True","True","No"
"491790","S?rgio Vieira","3584","IMSA23","213","-257830","SR TECHNIC","True","True","True","No"
"613054","Luis Marinho","4900","IMSA23","213","-257830","SR TECHNIC","True","True","True","No"
