team_id,cust_id,display_name,finish_position,finish_position_in_class,laps_lead,laps_complete,opt_laps_complete,interval,class_interval,average_lap,best_lap_num,best_lap_time,position,starting_position,starting_position_in_class,car_class_id,car_class_name,car_class_short_name,club_id,club_name,club_shortname,incidents,car_id,car_name,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time,percentage
-299092,852455,Vincenzo Sorice Jr,22,9,0,179,0,-1,-1,1075767,331,1045534,22,31,15,58011,GT3-PEC,GT3-PEC,41,Italy,Italy,39,132,BMW M4 GT3,YS Sim-Sport PEC,0,6,Race,0,RACE,173,107.5560728,191.7637206,18607.2006,107.5767,19256.2293,191.7269511,42676.0007,43.60%
-299092,327245,Paolo Ernesto Taddeolini,22,9,0,120,0,-1,-1,1072730,359,1051088,22,31,15,58011,GT3-PEC,GT3-PEC,41,Italy,Italy,11,132,BMW M4 GT3,YS Sim-Sport PEC,0,6,Race,0,RACE,118,107.272989,192.269768,12658.2127,107.273,12872.76,192.2697482,42676.0007,29.66%
-299092,564555,Mauro Dragoni,22,9,0,98,0,-1,-1,1099974,393,1051169,22,31,15,58011,GT3-PEC,GT3-PEC,41,Italy,Italy,8,132,BMW M4 GT3,YS Sim-Sport PEC,0,6,Race,0,RACE,95,108.0946021,190.8083503,10268.9872,109.9974,10779.7452,187.5076384,42676.0007,24.06%
-140651,579208,Thomas Burling,23,10,0,153,0,-1,-1,1078019,268,1053949,23,37,21,58011,GT3-PEC,GT3-PEC,36,UK and I,UK and I,28,132,BMW M4 GT3,Chicane Online Racing Orange,0,6,Race,0,RACE,150,107.8018853,191.3264563,16170.2828,107.8019,16493.6907,191.3264303,42676.0007,37.89%
-140651,595176,Christopher Rowe3,23,10,0,123,0,-1,-1,1090774,300,1047740,23,37,21,58011,GT3-PEC,GT3-PEC,36,UK and I,UK and I,20,132,BMW M4 GT3,Chicane Online Racing Orange,0,6,Race,0,RACE,120,109.0774058,189.0891385,13089.2887,109.0774,13416.5202,189.0891487,42676.0007,30.67%
-140651,643345,Austin Dilts,23,10,0,120,0,-1,-1,1081687,211,1052888,23,37,21,58011,GT3-PEC,GT3-PEC,16,Pennsylvania,Pennsylvania,8,132,BMW M4 GT3,Chicane Online Racing Orange,0,6,Race,0,RACE,118,108.1687178,190.6776111,12763.9087,108.1687,12980.244,190.6776425,42676.0007,29.91%
-297670,403630,Cory Hockin,24,11,0,153,0,-1,-1,1084254,391,1052623,24,38,22,58011,GT3-PEC,GT3-PEC,15,Canada,Canada,16,133,Lamborghini Huracán GT3 EVO,TR Geekz Energy Simracing GT3,0,6,Race,0,RACE,147,108.4777327,190.1344377,15946.2267,108.4254,16589.0862,190.2262081,42676.0007,37.37%
-297670,591603,Johannes Leppitt,24,11,0,150,0,-1,-1,1102770,211,1066815,24,38,22,58011,GT3-PEC,GT3-PEC,43,Scandinavia,Scandinavia,17,133,Lamborghini Huracán GT3 EVO,TR Geekz Energy Simracing GT3,0,6,Race,0,RACE,146,109.4563301,188.4345353,15980.6242,110.277,16541.55,187.0322253,42676.0007,37.45%
-297670,303874,Conan Wearn,24,11,0,90,0,-1,-1,1099151,299,1051720,24,38,22,58011,GT3-PEC,GT3-PEC,36,UK and I,UK and I,24,133,Lamborghini Huracán GT3 EVO,TR Geekz Energy Simracing GT3,0,6,Race,0,RACE,88,109.9576386,187.5754423,9676.2722,109.9151,9892.359,187.6480366,42676.0007,22.67%
-252527,727711,Ryan O'Connor6,25,12,0,182,0,-1,-1,1075940,270,1046076,25,34,18,58011,GT3-PEC,GT3-PEC,26,Illinois,Illinois,18,132,BMW M4 GT3,Krips Racing Blue,0,6,Race,0,RACE,178,107.5940163,191.6960944,19151.7349,107.594,19582.108,191.6961234,42676.0007,44.88%
-252527,614536,Louis Greig,25,12,0,121,0,-1,-1,1075706,385,1051150,25,34,18,58011,GT3-PEC,GT3-PEC,36,UK and I,UK and I,17,132,BMW M4 GT3,Krips Racing Blue,0,6,Race,0,RACE,118,107.5706203,191.7377871,12693.3332,107.5706,13016.0426,191.7378234,42676.0007,29.74%
-252527,831421,Christian Hindsch,25,12,0,90,0,-1,-1,1070580,360,1050101,25,34,18,58011,GT3-PEC,GT3-PEC,42,DE-AT-CH,DE-AT-CH,10,132,BMW M4 GT3,Krips Racing Blue,0,6,Race,0,RACE,87,107.0579506,192.6559643,9314.0417,107.058,9635.22,192.6558754,42676.0007,21.83%
-257782,608985,Ricardo Varão,26,13,0,120,0,-1,-1,1078084,383,1050568,26,36,20,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,12,132,BMW M4 GT3,PROTOSIM #3,0,6,Race,0,RACE,114,107.7656728,191.3907478,12285.2867,107.8084,12937.008,191.3148948,42676.0007,28.79%
-257782,823793,Luciano Gomes,26,13,0,91,0,-1,-1,1077123,353,1052112,26,36,20,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,22,132,BMW M4 GT3,PROTOSIM #3,0,6,Race,0,RACE,88,107.7123102,191.4855661,9478.6833,107.7123,9801.8193,191.4855843,42676.0007,22.21%
-257782,777046,Ruben Carrapato,26,13,0,90,0,-1,-1,1078484,117,1056358,26,36,20,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,9,132,BMW M4 GT3,PROTOSIM #3,0,6,Race,0,RACE,88,107.848392,191.2439519,9490.6585,107.8484,9706.356,191.2439378,42676.0007,22.24%
-257782,725974,Gonçalo Paixão5,26,13,0,88,0,-1,-1,1140578,144,1061601,26,36,20,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,15,132,BMW M4 GT3,PROTOSIM #3,0,6,Race,0,RACE,84,107.8587024,191.2256707,9060.131,114.0578,10037.0864,180.8324613,42676.0007,21.23%
-257829,201606,Manuel M Cruz,27,14,0,119,0,-1,-1,1081068,172,1053831,27,29,13,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,14,144,Ferrari 488 GT3 Evo 2020,SR TECHNIC #PEC,0,6,Race,0,RACE,114,108.1433237,190.7223858,12328.3389,108.1068,12864.7092,190.786821,42676.0007,28.89%
-257829,294789,Bruno Rebelo,27,14,0,113,0,-1,-1,1088544,377,1055430,27,29,13,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,26,144,Ferrari 488 GT3 Evo 2020,SR TECHNIC #PEC,0,6,Race,0,RACE,110,108.7394927,189.676742,11961.3442,108.8544,12300.5472,189.4765182,42676.0007,28.03%
-257829,25377,Aurelio Carneiro,27,14,0,111,0,-1,-1,1085457,263,1051726,27,29,13,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,19,144,Ferrari 488 GT3 Evo 2020,SR TECHNIC #PEC,0,6,Race,0,RACE,108,107.9150574,191.1258095,11654.8262,108.5457,12048.5727,190.0153825,42676.0007,27.31%
-257829,515776,Rui Filipe Pinheiro,27,14,0,40,0,-1,-1,1095868,25,1057718,27,29,13,58011,GT3-PEC,GT3-PEC,42,DE-AT-CH,DE-AT-CH,6,144,Ferrari 488 GT3 Evo 2020,SR TECHNIC #PEC,0,6,Race,0,RACE,40,109.5867825,188.2102224,4383.4713,109.5868,4383.472,188.2101923,42676.0007,10.27%
-264062,671627,Justin Cole6,28,15,0,155,0,-1,-1,1090008,304,1059496,28,35,19,58011,GT3-PEC,GT3-PEC,12,New England,New England,31,137,[Legacy] Porsche 911 GT3 R,Team Upstate,0,6,Race,0,RACE,149,108.9736094,189.2692443,16237.0678,109.0008,16895.124,189.2220305,42676.0007,38.05%
