"cust_id","display_name","latest_iRating","car_class_name","car_number","team_id","team_display_name","gtp","lmp2","gt3pro","gt3am"
"366068","Stephane Civeira Lareo","4034","IMSA23","224","-129653","Octopus Racing Team","True","True","True","No"
"365305","Davo Ramos","3922","IMSA23","224","-129653","Octopus Racing Team","True","True","True","No"
"701793","David Marchal","4156","IMSA23","224","-129653","Octopus Racing Team","True","True","True","No"
"827394","Nicolas Vicent","3119","IMSA23","213","-323480","Virtualdrivers by Thrustmaster #1","True","True","True","Gold"
"443864","Renaud Herbillon","3565","IMSA23","213","-323480","Virtualdrivers by Thrustmaster #1","True","True","True","No"
"1033551","Diogo Faria","5118","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","No"
"400601","Pedro S Monteiro","4594","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","No"
"858949","Gon?alo C Ferreira","5376","IMSA23","255","-311353","Strumentti DS Racing","True","True","True","No"
"633220","Gerard Sardeny Saez","6252","IMSA23","206","-127715","XBD RACING GT3 I","True","True","True","No"
"621443","Roberto C Freezer","8024","IMSA23","206","-127715","XBD RACING GT3 I","True","True","True","No"
"302291","Onno Bastings","4120","IMSA23","262","-379683","Hydrorace Racing Forces PEC","True","True","True","No"
"369262","Daryl Norkett","3227","IMSA23","262","-379683","Hydrorace Racing Forces PEC","True","True","True","Gold"
"520524","Daniel O'Connor2","2506","IMSA23","262","-379683","Hydrorace Racing Forces PEC","False","True","True","Silver"
"485913","Federico Romano","4253","IMSA23","269","-213609","IS Corse","True","True","True","No"
"18782","Maurizio Scotti di Uccio","4294","IMSA23","269","-213609","IS Corse","True","True","True","No"
"327245","Paolo Ernesto Taddeolini","3289","IMSA23","269","-213609","IS Corse","True","True","True","Gold"
"361593","David Miguel Ferreira","3049","IMSA23","229","-355821","Rubis G?s by NGC","True","True","True","Gold"
"569447","Tiago Manuel Dias","3584","IMSA23","229","-355821","Rubis G?s by NGC","True","True","True","No"
"621117","Artur Loureiro","2792","IMSA23","229","-355821","Rubis G?s by NGC","True","True","True","Gold"
"690462","Alex Pilbeam","2531","IMSA23","324","-248892","HWT Motorsport","False","True","True","Silver"
"617317","Tom Bryant","2087","IMSA23","324","-248892","HWT Motorsport","False","True","True","Silver"
"979837","Tsakaloglou Akis","3996","IMSA23","289","-10463","Hellenic Racing","True","True","True","No"
"793324","George Triantopoulos","4988","IMSA23","289","-10463","Hellenic Racing","True","True","True","No"
"68157","Andy Perrs","3185","IMSA23","289","-10463","Hellenic Racing","True","True","True","Gold"
"983360","Christos Libanovnos","2802","IMSA23","289","-10463","Hellenic Racing","True","True","True","Gold"
"381160","Miguel Angel Gallardo","4730","IMSA23","274","-321313","Enosis eSports PEC GT3","True","True","True","No"
"396593","Manu Casasnovas","5624","IMSA23","274","-321313","Enosis eSports PEC GT3","True","True","True","No"
"780183","David Simon Jr","4867","IMSA23","274","-321313","Enosis eSports PEC GT3","True","True","True","No"
"46080","Cesar Cabral","3402","GTP","70","-201751","Race2Esport","True","True","True","Gold"
"283769","Marc de Fulgencio","3091","GTP","70","-201751","Race2Esport","True","True","True","Gold"
"44390","Marcos Eberhardt","2830","GTP","70","-201751","Race2Esport","True","True","True","Gold"
"239405","Arthur Figueiredo","4004","GTP","70","-201751","Race2Esport","True","True","True","No"
"311045","David Narbonne","1702","IMSA23","391","-230731","SMURF RACING TEAM#391","False","False","True","Silver"
"324933","Stephane Henriques","1855","IMSA23","391","-230731","SMURF RACING TEAM#391","False","False","True","Silver"
"925588","Mike Gaff","2133","IMSA23","341","-350679","Pandemonium eSports x Sim-Lab Red","False","True","True","Silver"
"753781","Lorenzo Schoovaerts","1811","IMSA23","341","-350679","Pandemonium eSports x Sim-Lab Red","False","False","True","Silver"
"858969","Ryan Read3","1720","IMSA23","341","-350679","Pandemonium eSports x Sim-Lab Red","False","False","True","Silver"
"662921","Kris Van Gucht","2916","IMSA23","277","-197550","EAGLE Speed Academy E-Sports #G","True","True","True","Gold"
"773907","Tim De Hondt","2678","IMSA23","277","-197550","EAGLE Speed Academy E-Sports #G","False","True","True","Silver"
"682505","Drew Glover2","2481","IMSA23","399","-239796","Slippers Racing Team","False","True","True","Silver"
"794023","John Connors3","1880","IMSA23","399","-239796","Slippers Racing Team","False","False","True","Silver"
"579208","Thomas Burling","2902","IMSA23","399","-239796","Slippers Racing Team","True","True","True","Gold"
"59268","Danni Fugl","2110","IMSA23","315","-90490","LITHIUM Motorsports AM","False","True","True","Silver"
"284176","Martin Birmele","2280","IMSA23","315","-90490","LITHIUM Motorsports AM","False","True","True","Silver"
"1002358","Anders Daniel Rasmussen2","1777","IMSA23","315","-90490","LITHIUM Motorsports AM","False","False","True","Silver"
"393778","Stefan Le Guen","2719","IMSA23","346","-323693","Squadra Veloce Bravo by EAGLE RS","False","True","True","Silver"
