team_id,cust_id,display_name,race_count,old_classification,total_time,avg_speed,total_avg_speed,percentage,new_classification,driven,deadzone,reclassified
-159911,341206,Kevin Ketzerau,1,Silver,7627.45,162.1657978,162.17,0,Silver,True,True,False
-96989,317748,Jamie M Pounder,2,Gold,15721.83,162.1263813,174.24,0,Gold,True,True,False
-299312,732337,Davide De Marco2,4,Silver,18744.1,162.099323,171.63,0,Silver,True,True,False
-110547,528824,Kiko Lacalle,2,Gold,14076.98,162.0928374,169.95,0,Gold,True,True,False
-299092,564555,Mauro Dragoni,5,Silver,48144.52,162.0781452,173.65,0,Silver,True,True,False
-257830,613054,Luis Marinho,5,Silver,36838.22,162.0557227,172.43,0,Silver,True,True,False
-129653,649681,Joselu Otero,5,Gold,56203.26,162.0531667,174.51,0,Gold,True,True,False
-232258,387273,Ricardo Luis Pereira,2,Gold,12574.36,162.0216334,171.66,0,Gold,True,True,False
-140651,606006,Jomi Scott,2,Silver,13762.43,161.9732559,166.76,0,Silver,True,True,False
-280178,432229,Erik Häusler,1,Silver,5997.52,161.8903709,161.89,0,Silver,True,True,False
-257829,515776,Rui Filipe Pinheiro,5,Silver,40895.31,161.8884055,172.67,0,Silver,True,True,False
-297933,555827,Tim Penny,1,Gold,7797.84,161.8561444,161.86,0,Gold,True,True,False
-312337,113603,Norbert Windholz,5,Silver,46900.03,161.7456519,173.53,0,Silver,True,True,False
-264062,671627,Justin Cole6,5,Silver,54038.71,161.6382405,172.11,0,Silver,True,False,False
-264062,478574,Matias Nievas Soto,4,Silver,46718.9,161.5756314,173.63,0,Silver,True,False,False
-96989,445418,Thomas Fischer2,3,Gold,27737.06,161.5336227,173.04,0,Silver,True,False,True
-175849,314054,Jan-Eike Zanders,4,Silver,34047.78,161.5117906,168.95,0,Silver,True,False,False
-252527,614536,Louis Greig,4,Silver,30537.87,161.4535409,171.76,0,Silver,True,False,False
-258771,648414,Cristiano Rocha,5,Silver,45672.3,161.3766282,171.6,0,Silver,True,False,False
-257782,777046,Ruben Carrapato,4,Silver,26601.22,161.1311699,172.17,0,Silver,True,False,False
-278379,416545,Martin Hobson,5,Gold,62317.86,161.0653942,174.49,0,Silver,True,False,True
-252527,831421,Christian Hindsch,2,Silver,13857.72,160.8978435,180.26,0,Silver,True,False,False
-252527,654026,Caleb Koski,3,Silver,20867.37,160.7540815,173.98,0,Silver,True,False,False
-257829,201606,Manuel M Cruz,3,Silver,19220.49,160.5517522,169.67,0,Silver,True,False,False
-280178,662411,Peppe Kerstens,5,Silver,39899.77,160.4051798,169.82,0,Silver,True,False,False
-140651,595176,Christopher Rowe3,3,Silver,22998.74,160.3645755,167.87,0,Silver,True,False,False
-62993,651954,Cade Middleton,5,Silver,46109.29,160.1069839,174.08,0,Silver,True,False,False
-312337,728760,Markus Kementner,1,Silver,3875.32,159.9038453,159.9,0,Silver,True,False,False
-257782,823793,Luciano Gomes,5,Silver,39632.63,159.8143002,172.53,0,Silver,True,False,False
-62993,722391,Matthew Luke Sr,4,Gold,25781.05,159.7246468,171.06,0,Silver,True,False,True
-257782,149607,Pedro Bragança,4,Silver,18958.66,159.345603,169.73,0,Silver,True,False,False
-257782,725974,Gonçalo Paixão5,2,Silver,13471.54,158.9595186,169.61,0,Silver,True,False,False
