team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage,total_session_time
-286482,Kairos eSports #229,462694,David Prevautel,5718,242.5263,3,237.02859249999997,40,207.00592739502517,727.5789,9481.143699999999,19.0,14670572
-243021,Elite Racing Team,370494,Josh Fletcher,3103,243.0972,4,238.33464615384614,39,205.8715524637885,972.3888,9295.0512,25.0,14670572
-243021,Elite Racing Team,675666,Claus Christensen,2437,0.0,0,242.425155,20,202.3978229882951,0.0,4848.5031,0.0,14670572
-257829,SR TECHNIC #PEC,201606,Manuel M Cruz,1629,243.855,6,241.46764,20,203.20041066206636,1463.1299999999999,4829.3528,38.0,14670572
-257829,SR TECHNIC #PEC,515776,Rui Filipe Pinheiro,2080,0.0,1,240.08353666666667,30,204.37187943346552,0.0,7202.5061000000005,6.0,14670572
-280178,Trackside Esports,127270,Simon Van  Dijk,2899,252.5207,3,239.3968,31,204.95814317317524,757.5621,7421.3008,19.0,14670572
-62993,Fury Simsport Academy,656823,Rink Wilbrink3,3082,243.5355,1,238.96618048780485,41,205.32747985275682,243.5355,9797.613399999998,6.0,14670572
-272629,Platinum Racing Team red,407173,John Silvester,4460,244.0216,2,238.2507769230769,26,205.9440235338324,488.0432,6194.520199999999,12.0,14670572
-298040,Peaky Drivers GT3,665522,Víctor Sánchez Fernández,2324,250.1445,3,241.09262083333334,24,203.51648855947116,750.4335,5786.222900000001,19.0,14670572
-298040,Peaky Drivers GT3,384294,Sergio Gomez Redondo,1813,0.0,0,240.2368625,16,204.24144362774467,0.0,3843.7898,0.0,14670572
-258771,PROTOSIM #2,648414,Cristiano Rocha,3925,0.0,0,239.42078999999998,20,204.93760633569042,0.0,4788.4158,0.0,14670572
-302748,Platinum Racing Team White,373409,Sek-Yin Ho,4454,0.0,2,236.853575,24,207.15888966252675,0.0,5684.4858,12.0,14670572
-218497,Blue Chip Racing,435833,Nicholas Larsen,3345,0.0,1,239.1180088235294,34,205.19710686371286,0.0,8130.0123,6.0,14670572
-218497,Blue Chip Racing,146465,Thomas R Dunn,3196,0.0,1,239.4292074074074,27,204.93040151993586,0.0,6464.5886,6.0,14670572
-264062,Team Upstate GT3,671627,Justin Cole6,1815,247.2831,2,240.50446923076925,13,204.01418637472307,494.5662,3126.5581,12.0,14670572
-264062,Team Upstate GT3,478574,Matias Nievas Soto,2157,0.0,0,240.47024814814813,27,204.04321943133434,0.0,6492.6966999999995,0.0,14670572
-257782,PROTOSIM #3,608985,Ricardo Varão,1652,267.4244,3,240.87266666666665,9,203.70233073186665,802.2732,2167.854,19.0,14670572
-306961,Scopum Racing E-Sports Team Silver,867228,Fabian Sodke,1523,0.0,0,240.6748,5,203.86980111586257,0.0,1203.374,0.0,14670572
